Main Topic,Subtopic Level 1,Subtopic Level 2,Details
"1. The Chain Rule","1.1 Composition of Functions Review","Definition of composite function: (f ∘ g)(x) = f(g(x))","Identifying the outer function f and inner function g"
"","","Notation: f(g(x)) vs. (f ∘ g)(x)","Domain of composite functions"
"","","Examples of compositions in various contexts","Decomposing functions into compositions"
"","1.2 Understanding the Need for Chain Rule","Why basic derivative rules fail for compositions","Examples where power rule alone is insufficient"
"","","Motivating example: d/dx[(x² + 1)³]","Understanding that derivative of composition ≠ composition of derivatives"
"","","Historical context and importance",""
"","1.3 Statement of the Chain Rule","If h(x) = f(g(x)), then h'(x) = f'(g(x)) · g'(x)","Leibniz notation: If y = f(u) and u = g(x), then dy/dx = (dy/du) · (du/dx)"
"","","Verbal form: 'derivative of outer function (evaluated at inner) times derivative of inner'","Alternative notation: (f ∘ g)'(x) = f'(g(x)) · g'(x)"
"","","Understanding each component of the formula",""
"","1.4 Intuitive Understanding of Chain Rule","Rate of change through a chain of dependencies","Units analysis to justify the rule"
"","","Example: dy/dx = (dy/du) · (du/dx) - units cancel appropriately","Geometric interpretation"
"","","Physical interpretation: related rates of change",""
"","1.5 Proof of the Chain Rule","Using limit definition (informal approach)","Understanding Δy/Δx = (Δy/Δu) · (Δu/Δx)"
"","","Taking the limit as Δx → 0","Careful treatment of the case when Δu = 0"
"","","Rigorous proof outline (conceptual)",""
"","1.6 Chain Rule in Leibniz Notation","dy/dx = (dy/du) · (du/dx)","Treating derivatives like fractions (heuristic)"
"","","When this notation is most useful","Cancellation interpretation"
"","","Multiple variable chains",""
"2. Applying Chain Rule: Basic Cases","2.1 Identifying Composite Functions","Recognizing when chain rule is needed","Distinguishing between product and composition"
"","","Finding the 'inside' and 'outside' functions","Practice with identification before differentiation"
"","","Common patterns to recognize",""
"","2.2 Chain Rule with Power Functions","General form: d/dx[u(x)]ⁿ = n[u(x)]^(n-1) · u'(x)","Examples: (x² + 1)⁵, (3x - 2)⁴, (x³ + 5x)²"
"","","Comparing to power rule alone","When inner function is linear vs. nonlinear"
"","","Simplification strategies",""
"","2.3 Step-by-Step Chain Rule Process","Step 1: Identify outer function f and inner function g","Step 2: Find derivative of outer function f'"
"","","Step 3: Evaluate f' at the inner function: f'(g(x))","Step 4: Find derivative of inner function g'(x)"
"","","Step 5: Multiply: f'(g(x)) · g'(x)","Step 6: Simplify if needed"
"","2.4 Simple Composition Examples","(2x + 3)¹⁰","√(x² + 1)"
"","","1/(x² - 4)","(x³ - 2x + 5)⁷"
"","","Building confidence with straightforward cases",""
"","2.5 Chain Rule with Polynomial Inner Functions","Inner function is polynomial","Outer function can be power, root, reciprocal"
"","","Multiple examples with varying complexity","Avoiding common errors"
"","","Simplification techniques",""
"3. Chain Rule with Trigonometric Functions","3.1 Chain Rule with sin and cos","d/dx[sin(u)] = cos(u) · u'","d/dx[cos(u)] = -sin(u) · u'"
"","","Examples: sin(x²), cos(3x), sin(x³ + 2x)","Remembering to multiply by derivative of inside"
"","","Multiple terms inside trig functions",""
"","3.2 Chain Rule with tan, cot, sec, csc","d/dx[tan(u)] = sec²(u) · u'","d/dx[cot(u)] = -csc²(u) · u'"
"","","d/dx[sec(u)] = sec(u)tan(u) · u'","d/dx[csc(u)] = -csc(u)cot(u) · u'"
"","","Examples with various inner functions","Sign awareness (negative derivatives)"
"","3.3 Trigonometric Compositions with Polynomials","sin(x²), cos(x³), tan(2x + 1)","Higher degree polynomials inside"
"","","Multiple terms: sin(x² + 3x - 5)","Simplification after differentiation"
"","","When to use trig identities",""
"","3.4 Nested Trigonometric Functions","sin(cos(x))","cos²(x) = [cos(x)]²"
"","","tan(sin(x))","Understanding the layers"
"","","Applying chain rule carefully to each layer",""
"","3.5 Powers of Trigonometric Functions","sin²(x), cos³(x), tan⁴(x)","Rewriting as [sin(x)]², [cos(x)]³, etc."
"","","Outer power function, inner trig function","d/dx[sin²(x)] = 2sin(x) · cos(x)"
"","","Relationship to double angle formulas",""
"4. Chain Rule with Exponential Functions","4.1 Chain Rule with e^u","d/dx[e^u] = e^u · u'","Examples: e^(x²), e^(3x), e^(x³+2x)"
"","","The exponential function remains in the derivative","Simplification strategies"
"","","Multiple terms in exponent",""
"","4.2 Exponential Functions with Polynomial Exponents","e^(ax+b) where a, b are constants","e^(x²), e^(x³), e^(-x²)"
"","","General polynomial in exponent","Rate of growth considerations"
"","","Applications to exponential models",""
"","4.3 Chain Rule with a^u (General Exponential)","d/dx[a^u] = a^u · ln(a) · u'","Examples: 2^(x²), 10^(3x), 5^(x+1)"
"","","Comparing to e^u case","When ln(a) = 1 (only when a = e)"
"","","Conversion to base e: a^x = e^(x·ln(a))",""
"","4.4 Exponential Functions with Trigonometric Arguments","e^(sin(x)), e^(cos(x)), e^(tan(x))","Combining chain rule applications"
"","","Multiple layers of composition","Simplification challenges"
"","","Applications in physics and engineering",""
"","4.5 Complex Exponential Compositions","e^(e^x), e^(x^(e)), e^(√x)","Multiple nested exponentials"
"","","Careful application of chain rule","When to leave in exponential form"
"","","Logarithmic differentiation as alternative",""
"5. Chain Rule with Logarithmic Functions","5.1 Chain Rule with ln(u)","d/dx[ln(u)] = (1/u) · u' = u'/u","Examples: ln(x²), ln(x³ + 1), ln(sin(x))"
"","","Domain considerations: u must be positive","Simplification using logarithm properties first"
"","","When to simplify before vs. after differentiation",""
"","5.2 Logarithms of Polynomials","ln(x² + 1), ln(x³ - 2x + 5)","Always positive polynomials in calculus problems"
"","","Derivative formula application","Simplifying rational expressions"
"","","Common errors to avoid",""
"","5.3 Logarithms of Products, Quotients, and Powers","Using log properties: ln(ab) = ln(a) + ln(b)","Using log properties: ln(a/b) = ln(a) - ln(b)"
"","","Using log properties: ln(a^n) = n·ln(a)","When to expand before differentiating"
"","","Comparing expanded vs. chain rule approaches",""
"","5.4 Chain Rule with log_a(u)","d/dx[log_a(u)] = (1/(u·ln(a))) · u'","Examples: log₂(x²), log₁₀(x + 1)"
"","","Converting to natural logarithm","Rare in practice but conceptually important"
"","","Relationship to ln(u) derivative",""
"","5.5 Logarithms with Trigonometric Arguments","ln(sin(x)), ln(cos(x)), ln(tan(x))","Domain restrictions: argument must be positive"
"","","Combining trigonometric and logarithmic derivatives","Simplification techniques"
"","","Applications",""
"","5.6 Logarithms of Absolute Values","d/dx[ln|u|] = u'/u (works for u ≠ 0)","Why absolute value extends domain"
"","","Examples: ln|x|, ln|x² - 4|","Piecewise analysis when needed"
"","","Integration connection (antiderivative of 1/u)",""
"6. Multiple Compositions and Nested Chain Rule","6.1 Understanding Multiple Layers","Functions with more than two levels of composition","Identifying each layer systematically"
"","","Working from outside to inside","Keeping track of each derivative"
"","","Organizational strategies",""
"","6.2 Three-Level Compositions","Examples: sin(e^(x²)), e^(sin(x²)), ln(cos(x²))","Step-by-step differentiation"
"","","Applying chain rule multiple times","Order of operations"
"","","Avoiding errors with parentheses",""
"","6.3 Four or More Levels","Examples: e^(sin(cos(x))), ln(e^(x²)+1)","When complexity becomes challenging"
"","","Systematic notation and organization","Breaking down into manageable steps"
"","","Checking work carefully",""
"","6.4 Nested Powers","(x² + 1)^((x³)^2), nested exponents","When to use logarithmic differentiation instead"
"","","Chain rule vs. other techniques","Simplification challenges"
"","","Practical limits of chain rule application",""
"","6.5 Strategy for Complex Compositions","Identify all layers first","Label each function and its derivative"
"","","Work methodically from outside in","Use clear notation with parentheses"
"","","Simplify step by step or at the end",""
"7. Combining Chain Rule with Other Rules","7.1 Chain Rule with Product Rule","When both rules needed: d/dx[f(g(x)) · h(x)]","Examples: x² · sin(x²), e^x · cos(x²)"
"","","Determining order of application","Organizing the work"
"","","Simplification strategies",""
"","7.2 Product of Two Compositions","d/dx[f(g(x)) · h(k(x))]","Examples: sin(x²) · cos(x³), e^(x²) · ln(x³)"
"","","Multiple chain rule applications","Product rule framework"
"","","Keeping track of all terms",""
"","7.3 Chain Rule with Quotient Rule","When both rules needed: d/dx[f(g(x)) / h(x)]","Examples: sin(x²)/x, e^x/cos(x²)"
